samples,eens_kwh,cvar_kwh,positive_scenarios
508,7.2865012225503065,145.730024451006,5
509,7.27218589598341,145.44371791966805,5
510,7.25792670795207,145.15853415904127,5
511,7.243723328875843,144.87446657751673,5
512,7.229575431749132,144.59150863498252,5
513,7.215482692116093,144.30965384232172,5
514,7.201444788045828,144.0288957609164,5
515,7.187461400107875,143.7492280021574,5
516,7.173532211347976,143.4706442269594,5
517,7.1596569072641305,143.1931381452825,5
518,7.145835175782926,142.91670351565838,5
519,7.132066707236138,142.64133414472263,5
520,7.118351194337607,142.36702388675204,5
521,7.104688332160375,142.0937666432074,5
522,7.091077818114091,141.8215563622817,5
523,7.0775193519226685,141.55038703845324,5
524,7.0640126356022055,141.280252712044,5
525,7.050557373439154,141.01114746878295,5
526,9.042910559801436,180.85821119602858,6
527,9.02575133672781,180.51502673455605,6
528,9.00865711071128,180.17314221422544,6
529,8.991627513148499,179.83255026296982,6
530,8.97466217821803,179.49324356436043,6
531,8.957760742854154,179.15521485708294,6
532,8.94092284672097,178.81845693441923,6
533,8.924148132186783,178.4829626437355,6
534,8.907436244298793,178.1487248859757,6
535,8.890786830758048,177.8157366151608,6
536,8.874199541894694,177.4839908378937,6
537,8.857674030643492,177.1534806128697,6
538,8.84120995251962,176.82419905039225,6
539,8.824806965594723,176.4961393118943,6
540,8.80846473047325,176.16929460946486,6
541,8.79218291026905,175.84365820538082,6
542,8.775961170582207,175.51922341164396,6
543,8.759799179476161,175.19598358952308,6
544,8.743696607455066,174.87393214910117,6
545,8.727653127441387,174.55306254882757,6
546,8.711668414753765,174.23336829507514,6
547,8.695742147085111,173.91484294170206,6
548,8.679874004480942,173.59748008961867,6
549,8.664063669317953,173.2812733863589,6
550,8.64831082628283,172.96621652565642,6
551,8.63261516235128,172.65230324702546,6
552,8.616976366767311,172.33952733534608,6
553,8.601394131022705,172.02788262045394,6
554,8.585868148836743,171.7173629767347,6
555,8.570398116136136,171.40796232272257,6
556,8.554983731035172,171.0996746207033,6
557,21.384349409255936,427.6869881851183,7
558,21.34602620242931,426.9205240485859,7
559,21.30784010904393,426.15680218087823,7
560,21.269790394563493,425.3958078912695,7
561,21.231876329689047,424.6375265937806,7
562,21.194097190312377,423.88194380624714,7
563,21.156452257469905,423.1290451493977,7
564,21.118940817297087,422.37881634594135,7
565,21.081562160983285,421.63124321966535,7
566,21.04431558472713,420.88631169454226,7
567,21.00720038969234,420.1440077938464,7
568,20.97021588196401,419.4043176392797,7
569,20.93336137250537,418.6672274501071,7
570,20.89663617711501,417.93272354229987,7
571,20.860039616384512,417.20079232768984,7
572,20.823571015656565,416.471420313131,7
573,20.78722970498352,415.74459409967,7
574,20.751015019086335,415.0203003817264,7
575,20.714926297314012,414.2985259462799,7
576,20.678962883603397,413.57925767206757,7
