samples,eens_kwh,cvar_kwh,positive_scenarios
843,3.3645004612758678,67.2900092255173,3
844,3.3605140863217478,67.2102817264349,3
845,3.356537146574622,67.13074293149238,3
846,3.3525696085763066,67.05139217152608,3
847,3.3486114390266306,66.97222878053255,3
848,3.3446626047824948,66.89325209564984,3
849,3.340723072856956,66.81446145713906,3
850,3.3367928104183004,66.73585620836595,3
851,3.3328717847891376,66.6574356957827,3
852,3.3289599634454894,66.57919926890972,3
853,3.3250573140158908,66.50114628031776,3
854,3.321163804280511,66.42327608561015,3
855,3.317279402170241,66.34558804340476,3
856,3.3134040757658365,66.26808151531667,3
857,3.3095377932970313,66.19075586594057,3
858,3.305680523141673,66.11361046283339,3
859,3.30183223382486,66.03664467649715,3
860,3.297992894018088,65.9598578803617,3
861,3.2941624725383916,65.88324945076778,3
862,3.290340938347512,65.80681876695019,3
863,3.286528260551049,65.73056521102092,3
864,3.282724408397634,65.65448816795262,3
865,3.2789293512780997,65.57858702556193,3
866,3.2751430587246606,65.50286117449315,3
867,3.2713655004100994,65.42731000820194,3
868,3.2675966461469534,65.35193292293901,3
869,3.2638364658867163,65.27672931773427,3
870,3.2600849297190306,65.20169859438055,3
871,3.2563420078709022,65.12684015741799,3
872,3.2526076707059124,65.0521534141182,3
873,3.2488818887234325,64.97763777446859,3
874,3.245164632557844,64.90329265115682,3
875,3.241455872977777,64.82911745955549,3
876,3.237755580885338,64.75511161770672,3
877,3.234063727315343,64.6812745463068,3
878,3.230380283434574,64.6076056686914,3
879,3.226705220541019,64.53410441082032,3
880,3.223038510063131,64.46077020126258,3
881,3.219380123559087,64.38760247118168,3
882,3.215730032716049,64.31460065432093,3
883,3.2120882093494405,64.24176418698875,3
884,3.2084546254022124,64.16909250804419,3
885,3.2048292529441302,64.09658505888255,3
886,3.201212064171056,64.02424128342106,3
887,3.197603031404234,63.952060628084624,3
888,3.1940021270895897,63.88004254179174,3
889,3.1904093237970246,63.80818647594044,3
890,3.186824594219726,63.73649188439446,3
891,3.1832479111734635,63.66495822346921,3
892,3.1796792475959146,63.593584951918224,3
893,3.176118576545975,63.52237153091945,3
894,3.1725658712030826,63.4513174240616,3
895,3.169021104866542,63.38042209733079,3
896,3.1654842509548624,63.309685019097195,3
897,3.161955283005078,63.23910566010151,3
898,3.1584341746721116,63.16868349344217,3
899,3.1549208997280926,63.09841799456181,3
900,3.1514154320617287,63.02830864123452,3
901,3.147917745677642,62.958354913552775,3
902,3.1444278146957387,62.88855629391471,3
903,3.1409456133505604,62.81891226701114,3
904,3.1374711159906594,62.749422319813135,3
905,3.1340042970779614,62.68008594155918,3
906,3.130545131187147,62.61090262374289,3
