samples,EENS_kwh,CVaR95_kwh
424,16.45084119504717,329.0168239009434
425,16.412133333411763,328.2426666682353
426,16.373607198826292,327.47214397652584
427,16.393669008665103,327.8733801733021
428,16.355366043691586,327.1073208738318
429,16.317241647319346,326.34483294638693
430,16.27929457372093,325.5858914744186
431,16.24152358863109,324.8304717726218
432,16.20392746921296,324.07854938425925
433,16.166505003926094,323.3301000785219
434,16.129254992396312,322.58509984792624
435,16.092176245287355,321.84352490574713
436,16.05526758417431,321.1053516834862
437,16.018527841418763,320.3705568283753
438,15.98195586004566,319.63911720091323
439,15.945550493621866,318.9110098724373
440,15.909310606136362,318.1862121227273
441,15.873235071882085,317.46470143764174
442,15.837322775339365,316.7464555067873
443,15.801572611060946,316.03145222121896
444,15.765983483558557,315.31966967117114
445,15.73055430719101,314.6110861438202
446,15.69528400605381,313.9056801210762
447,15.660171513870244,313.2034302774049
448,15.625215773883927,312.5043154776786
449,15.590415738752782,311.80831477505563
450,15.555770370444442,311.1154074088889
451,17.413083887730966,348.26167775461937
452,17.374559365855454,347.49118731710917
453,17.33620493016924,346.72409860338485
454,17.29801945675477,345.96038913509545
455,17.26000183157509,345.20003663150186
456,17.222150950365496,344.44301900730994
457,17.18446571852662,343.6893143705325
458,17.14694505101892,342.93890102037847
459,17.119301016702977,342.38602033405954
460,17.082085144927536,341.64170289855076
461,17.045030730296457,340.90061460592915
462,17.008136724386723,340.1627344877345
463,16.971402087832974,339.42804175665947
464,16.934825790229883,338.6965158045977
465,16.89840681003584,337.9681362007169
466,16.862144134477823,337.24288268955655
467,16.82603675945753,336.5207351891506
468,16.790083689458687,335.8016737891738
469,16.75428393745558,335.0856787491116
470,16.718636524822692,334.3727304964539
471,16.683140481245577,333.6628096249116
472,16.657710098870055,333.15420197740116
473,16.62249295278365,332.449859055673
474,16.58742440225035,331.74848804500704
475,16.552503508771927,331.05007017543863
476,16.517729341736693,330.35458683473394
477,16.483100978336825,329.6620195667366
478,16.448617503486748,328.97235006973506
479,16.414278009742517,328.2855601948504
480,16.380081597222222,327.6016319444445
481,16.346027373527374,326.9205474705475
482,16.31211445366528,326.24228907330564
483,16.278341959972394,325.5668391994479
484,16.244709022038567,324.8941804407713
485,16.2112147766323,324.22429553264607
486,16.187487997256515,323.74975994513034
487,16.15424880219028,323.0849760438056
488,16.12114583333333,322.42291666666665
489,16.088178254942058,321.7635650988412
490,16.055345238095235,321.1069047619048
491,16.022645960624573,320.4529192124915
492,15.990079607046068,319.8015921409214
493,15.957645368492223,319.1529073698445
494,15.925342442645071,318.5068488529015
495,15.893170033670032,317.8634006734007
496,15.863607190860213,317.2721438172043
497,15.83168846411804,316.63376928236084
498,15.799897925033466,315.9979585006693
499,15.76823480293921,315.3646960587842
500,15.736698333333331,314.7339666666667
501,15.705287757817697,314.10575515635395
502,15.674002324037183,313.4800464807437
503,15.642841285619614,312.8568257123923
504,15.611803902116401,312.236078042328
505,15.580889438943894,311.6177887788779
506,15.550097167325427,311.00194334650854
507,15.519426364234056,310.3885272846811
508,15.488876312335957,309.77752624671916
509,15.458446299934511,309.1689259986902
510,15.42813562091503,308.56271241830063
